Contour Area,Mean,Blinking,Emotion,Music
335,33.629894,1,3,1
,,,,
399,33.446304,1,3,1
,,,,
399,33.26485,0,3,1
,,,,
399,33.279213,1,3,1
,,,,
337,33.09476,1,3,1
,,,,
311.5,33.283268,0,3,1
,,,,
399,33.1314,0,3,1
,,,,
335,32.961163,1,3,1
,,,,
335,32.802002,1,3,1
,,,,
399,32.632195,1,3,1
,,,,
399,32.459717,1,3,1
,,,,
399,32.28686,0,3,1
,,,,
335,32.12589,0,3,1
,,,,
304,32.12589,0,3,1
,,,,
335,32.12589,0,3,1
,,,,
368,32.186687,0,3,1
,,,,
368,31.900364,1,3,1
,,,,
304,31.59644,1,3,1
,,,,
399,32.025375,1,3,1
,,,,
399,31.70816,0,3,1
,,,,
352,31.70816,0,5,1
,,,,
335,32.112488,1,5,1
,,,,
399,31.83071,1,5,1
,,,,
335,32.22483,1,5,1
,,,,
306.5,32.41499,1,5,1
,,,,
335,32.2786,0,5,1
,,,,
335,32.2786,1,5,1
,,,,
335,32.147667,0,5,1
,,,,
399,32.004883,0,5,1
,,,,
399,31.8578,0,5,1
,,,,
337,31.895206,0,5,1
,,,,
335,32.26685,1,5,1
,,,,
335,32.11725,0,5,1
,,,,
335,32.312057,1,5,1
,,,,
368,32.35281,0,5,1
,,,,
335,32.205616,1,5,1
,,,,
335,31.919186,0,5,1
,,,,
399,31.631516,0,5,1
,,,,
376,31.785463,0,5,1
,,,,
399,31.830502,0,5,1
,,,,
368,32.16595,0,5,1
,,,,
335,32.33612,0,5,1
,,,,
399,32.36921,1,5,1
,,,,
335,32.09025,1,5,1
,,,,
356,31.82926,0,5,1
,,,,
348,31.5717,1,5,1
,,,,
337,31.451155,0,5,1
,,,,
335,31.592054,0,5,1
,,,,
310,31.627563,1,5,1
,,,,
304,31.381037,0,5,1
,,,,
310,31.142876,1,5,1
,,,,
335,31.01728,1,5,1
,,,,
399,31.340464,1,5,1
,,,,
335,31.11156,1,5,1
,,,,
399,30.874882,0,5,1
,,,,
335,30.770523,1,5,1
,,,,
335,30.917692,0,5,1
,,,,
335,30.959259,1,5,1
,,,,
399,31.270267,0,5,1
,,,,
335,31.408617,1,5,1
,,,,
335,31.296095,0,5,1
,,,,
310,31.328964,1,5,1
,,,,
335,31.119234,0,5,1
,,,,
335,30.898426,1,5,1
,,,,
335,30.783873,0,3,1
,,,,
304,30.937613,0,3,1
,,,,
399,30.966278,0,3,1
,,,,
306,30.740969,0,3,1
,,,,
304,30.763588,0,3,1
,,,,
304,30.789568,1,3,1
,,,,
335,30.681171,1,3,1
,,,,
368,30.96224,1,3,1
,,,,
335,30.744333,0,3,1
,,,,
399,nan,0,5,1
,,,,
335,69.24284,0,3,1
,,,,
317.5,55.594276,0,3,1
,,,,
335,51.09759,0,5,1
,,,,
335,37.70512,1,3,1
,,,,
399,41.30272,1,3,1
,,,,
399,41.11928,1,3,1
,,,,
335,35.825268,0,3,1
,,,,
304,31.954155,1,3,1
,,,,
335,29.04923,1,3,1
,,,,
399,32.91991,1,5,1
,,,,
399,35.94856,1,5,1
,,,,
304,38.52468,0,5,1
,,,,
335,35.79086,0,3,1
,,,,
399,33.391487,0,5,1
